day,description,category,amount
1,Monthly rent,Rent,950.00
2,Trader Joe's groceries,Food,54.32
2,Gas,Transportation,48.10
3,Spotify,Entertainment,11.99
3,Chipotle,Food,13.45
4,Textbook - CMPE 165,School,89.99
5,Boba,Food,6.50
5,VTA day pass,Transportation,5.00
6,Movie with friends,Entertainment,16.00
7,Dining hall,Food,11.25
8,Printing,School,4.80
8,Target run,Other,32.60
9,Starbucks,Food,7.15
10,Gas,Transportation,52.40
10,Safeway groceries,Food,41.87
11,Lab fee,School,25.00
12,Phone case,Other,18.99
12,Pho,Food,15.50
13,Boba,Food,6.75
14,Concert ticket,Entertainment,55.00
14,Uber home,Transportation,17.30
15,Notebooks and pens,School,12.40
16,Trader Joe's groceries,Food,48.20
17,Haircut,Other,30.00
18,In-N-Out,Food,10.85
19,Gas,Transportation,45.75
20,Birthday gift,Other,25.00
21,Dining hall,Food,11.25
22,Boba,Food,6.50
22,Calculator,School,19.99
